Brands,OpSys,ScrSize,ScrResolution,Cpu,Ram,Memory,Gpu,Weight,Price
MSI,Windows 10,18.4,Full HD 1920x1080,Intel Core i7 6920HQ 2.9GHz,32GB,512GB SSD +  1TB HDD,NVIDIA GTX 980 SLI,4.4kg,1799
LENOVO,Windows 10,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD +  1TB HDD,AMD R17M-M1-70,1.90kg,522
HP,Windows 10,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,1.29kg,963
DELL,Linux,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,2.02kg,674
DELL,Windows 10,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,1.23kg,899
LENOVO,Windows 10,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,1.4kg,1188
TOSHIBA,Windows 10,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,Intel HD Graphics 620,2.0kg,510
XIAOMI,macOS,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,NVIDIA GeForce MX150,1.95kg,770
DELL,Windows 10,17.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,NVIDIA GeForce 150MX,2.77kg,995
DELL,Windows 10,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,NVIDIA GeForce GTX 1050,2.06kg,1540
LENOVO,macOS,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 1050,2.4kg,501
ACER,Windows 10,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7Y54 1.2GHz,8GB,256GB SSD,Intel HD Graphics 615,1.12kg,635
DELL,Windows 10,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,2.8kg,697
LENOVO,Windows 10,14,Touchscreen 2560x1440,Intel Core i7 7500U 2.7GHz,16GB,1TB SSD,Intel HD Graphics 620,1.42kg,1815
VERO,Windows 10,14,IPS Panel Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,1.3kg,167
XIAOMI,macOS,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce MX150,1.3kg,642
LENOVO,macOS,17.3,1600x900,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,NVIDIA GeForce MX150,2.8kg,449
DELL,Windows 10,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Intel UHD Graphics 620,1.62kg,539
HP,Windows 10,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,NVIDIA GeForce 930MX,2.5kg,587
RAZER,Windows 10,17.3,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7820HK 2.9GHz,32GB,1TB SSD,NVIDIA GeForce GTX 1080,3.49kg,3919
HP,Windows 10,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,512GB SSD,Intel UHD Graphics 620,1.49kg,616
HP,Windows 10,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,NVIDIA GeForce GTX 1050,3.35kg,886
HP,Windows 10,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,NVIDIA GeForce 930MX ,2.5kg,671
DELL,Windows 10,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD +  1TB HDD,NVIDIA GeForce GTX 1060,2.65kg,1186
LENOVO,Windows 10,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,Intel HD Graphics 520,2.1kg,317
ACER,Windows 10,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,NVIDIA GeForce 940MX,2.23kg,477
LENOVO,Windows 10,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD +  1TB HDD,NVIDIA GeForce GTX 1060,3.2kg,1124
DELL,Windows 10,15.6,4K Ultra HD 3840x2160,Intel Xeon E3-1505M V6 3GHz,16GB,256GB SSD +  1TB HDD,NVIDIA Quadro M1200,2.8kg,1963
LENOVO,macOS,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,NVIDIA GeForce GTX 1060,2.4kg,898
DELL,Windows 10,15.6,Touchscreen 1366x768,Intel Core i3 7100U 2.4GHz,6GB,1TB HDD,Intel HD Graphics 620,2.3kg,282
DELL,Windows 10,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,1.21kg,1252
DELL,Windows 10,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,1.2kg,931
LENOVO,Windows 10,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,2.2kg,384
ACER,Linux,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,NVIDIA GeForce GTX 1050,2.4kg,501
ASUS,Windows 10,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,NVIDIA GeForce GTX 1050,2.9kg,904
HP,macOS,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,2.1kg,224
LENOVO,macOS,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,2.2kg,353
HUAWEI,Windows 10,13,IPS Panel Full HD 2160x1440,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,1.05kg,963
DELL,Windows 10,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 530,1.4kg,599
LENOVO,macOS,17.3,1600x900,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,NVIDIA GeForce GTX 940MX,2.8kg,378
HP,Windows 10,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,NVIDIA GeForce 930MX,1.63kg,662
DELL,Windows 10,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,1.6kg,738
DELL,Windows 10,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,1.62kg,822
DELL,Linux,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,AMD Radeon 520,2.2kg,435
LENOVO,Windows 10,14,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,1.74kg,578
TOSHIBA,Windows 10,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,1.2kg,876
HP,Windows 10,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Intel UHD Graphics 620,2.1kg,510
DELL,Windows 10,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,NVIDIA GeForce GTX 1060,4.42kg,1578
ACER,Windows 10,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,NVIDIA GeForce 940MX,2.2kg,535
DELL,Windows 10,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,1TB HDD,AMD Radeon R7 M445,2.3kg,552
ASUS,Windows 10,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce 920MX ,2kg,494
ASUS,Windows 10,17.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD +  500GB HDD,NVIDIA GeForce GTX 950M,2.69kg,573
HP,Windows 10,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,AMD FirePro W4190M ,1.9kg,815
ASUS,Windows 10,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Intel HD Graphics 620,2.37kg,256
HP,Windows 10,15.6,1366x768,AMD E-Series 9000e 1.5GHz,4GB,500GB HDD,AMD Radeon R2,2.1kg,212
LENOVO,Windows 10,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,NVIDIA GeForce GTX 1060,3.2kg,963
DELL,Windows 10,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,1.6kg,552
ACER,Windows 10,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,1.6kg,443
DELL,Linux,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,256GB SSD,AMD Radeon R7 M445,2.36kg,578
ACER,Linux,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,2.1kg,251
ASUS,Windows 10,15.6,Full HD 1920x1080,AMD A10-Series A10-9620P 2.5GHz,4GB,128GB SSD +  1TB HDD,AMD Radeon R5 M430,2.2kg,369
ASUS,Windows 10,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,32GB,512GB SSD +  1TB HDD,NVIDIA GeForce GTX 1080,4.7kg,2500
ACER,Windows 10,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 1050,2.5kg,544
LENOVO,Windows 10,15.6,1366x768,Intel Core i3 6006U 2GHz,8GB,128GB SSD,Intel HD Graphics 520,2.2kg,378
ASUS,Windows 10,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,NVIDIA GeForce 150MX,2.1kg,736
ASUS,macOS,17.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,128GB SSD +  1TB HDD,NVIDIA GeForce GTX 950M,2.69kg,571
DELL,Windows 10,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 1050,2.56kg,565
LENOVO,Windows 10,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,1.38kg,693
DELL,Windows 10,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  2TB HDD,AMD Radeon 530,2.2kg,633
HP,Windows 10,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,2.04kg,359
ASUS,Windows 10,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,16GB,256GB SSD,NVIDIA GeForce GTX 1080,3.6kg,1927
HP,Windows 10,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Intel UHD Graphics 620,1.49kg,434
APPLE,macOS,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8GB,512GB SSD,Intel Iris Plus Graphics 650,1.37kg,1311
DELL,Windows 10,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Intel UHD Graphics 620,2.08kg,526
ASUS,Windows 10,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,NVIDIA GeForce GTX 980M,4.3kg,1156
ASUS,Windows 10,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,1TB HDD,AMD Radeon R5 M420,1.68kg,301
LENOVO,Windows 10,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Intel UHD Graphics 620,1.37kg,
ACER,Windows 10,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,256GB SSD,NVIDIA GeForce MX130,3kg,451
DELL,Windows 10,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,1.41kg,610
HP,Windows 10,15.6,1366x768,AMD A6-Series A6-9220 2.5GHz,8GB,128GB SSD,AMD Radeon R4 Graphics,1.91kg,287
HP,Windows 10,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,1TB HDD,NVIDIA GeForce MX150,2.9kg,680
MSI,Windows 10,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD +  1TB HDD,NVIDIA GeForce GTX 1070,4.14kg,1606
LENOVO,Windows 10,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,512GB SSD,NVIDIA GeForce GTX 1050M,2kg,1092
DELL,Windows 10,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,2.8kg,734
LENOVO,macOS,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,Intel HD Graphics 520,2.2kg,285
HP,Windows 10,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Intel HD Graphics 620,2.1kg,464
DELL,Windows 10,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,2.18kg,422
DELL,Windows 10,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,AMD Radeon R5 M430,2.24kg,363
DELL,Windows 10,15.6,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,2.67kg,513
ASUS,Windows 10,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD +  512GB SSD,Intel UHD Graphics 620,1.1kg,963
LENOVO,macOS,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,2.2kg,300
HP,Windows 10,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,NVIDIA GeForce 930MX ,2.5kg,654
LENOVO,Windows 10,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,2.05kg,565
APPLE,macOS,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.9GHz,8GB,512GB SSD,Intel Iris Graphics 550,1.37kg,1259
ASUS,Windows 10,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,16GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,3.2kg,995
DELL,Linux,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 520,2.14kg,472
LENOVO,Windows 10,14,Touchscreen 2560x1440,Intel Core i7 6600U 2.6GHz,16GB,512GB SSD,Intel HD Graphics 520,1.36kg,1606
TOSHIBA,Windows 10,15.6,1366x768,Intel Core i7 6500U 2.5GHz,8GB,500GB HDD,NVIDIA GeForce 930M,2.2kg,522
DELL,Windows 10,15.6,1366x768,Intel Core i7 7500U 2.7GHz,12GB,1TB HDD,Intel HD Graphics 620,2.3kg,458
DELL,Linux,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,2.8kg,706
ACER,Windows 10,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,NVIDIA GeForce MX130,2.2kg,479
LENOVO,Windows 10,17.3,1600x900,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,2.8kg,314
LENOVO,macOS,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,2TB HDD,NVIDIA GeForce MX150,2.8kg,546
LENOVO,Windows 10,17.3,1600x900,Intel Core i7 7500U 2.7GHz,6GB,128GB SSD +  1TB HDD,NVIDIA GeForce 940MX,2.8kg,552
DELL,Linux,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,AMD Radeon R5 M430,2.25kg,275
LENOVO,Windows 10,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,NVIDIA GeForce GTX 1050,2.5kg,533
LENOVO,Windows 10,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6GB,256GB SSD,Intel HD Graphics 620,2.2kg,372
ACER,Windows 10,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,NVIDIA GeForce MX150,3kg,611
ACER,Windows 10,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12GB,1TB HDD,Intel HD Graphics 620,2.15kg,423
LENOVO,Windows 10,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 630,1.95kg,705
ASUS,Windows 10,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce 940MX,1.7kg,628
LENOVO,Windows 10,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,NVIDIA GeForce GTX 1050 Ti,2.5kg,758
LENOVO,macOS,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,NVIDIA GeForce 940MX,2.2kg,423
ACER,Chrome OS,15.6,1366x768,Intel Celeron Dual Core 3205U 1.5GHz,2GB,16GB SSD,Intel HD Graphics,2.19kg,128
ASUS,Windows 10,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,NVIDIA GeForce GTX 1050,3kg,763
HP,Windows 10,17.3,1600x900,Intel Core i3 6006U 2GHz,8GB,1TB HDD,Intel HD Graphics 520,2.54kg,314
DELL,Windows 10,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,NVIDIA GeForce GTX 1050,2kg,1175
LENOVO,Windows 10,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,2.05kg,475
LENOVO,Windows 10,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,NVIDIA GeForce GTX 1060,3.2kg,835
ACER,Linux,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,NVIDIA GeForce GTX 1050 Ti,2.5kg,629
DELL,Windows 10,17.3,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,16GB,256GB SSD,NVIDIA Quadro M1200,3.42kg,1854
LENOVO,Windows 10,15.6,Full HD 1920x1080,AMD A10-Series 9600P 2.4GHz,6GB,1TB HDD,AMD Radeon R5 430,2.4kg,321
ASUS,Windows 10,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,NVIDIA GeForce 940MX,1.63kg,943
ASUS,Windows 10,14,1366x768,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Intel HD Graphics 620,1.3kg,327
ASUS,Windows 10,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,NVIDIA GeForce GTX 1070,2.9kg,1364
LENOVO,Windows 10,17.3,1600x900,Intel Core i5 7200U 2.5GHz,6GB,1TB HDD,NVIDIA GeForce GTX 940M,2.8kg,417
LENOVO,macOS,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,2TB HDD,NVIDIA GeForce 940MX,2.2kg,353
ASUS,Windows 10,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,NVIDIA GeForce GTX 1050 Ti,2.5kg,813
LENOVO,macOS,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Intel HD Graphics 505,2.2kg,231
HP,Windows 10,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7600U 2.8GHz,16GB,256GB SSD,Intel HD Graphics 620,1.28kg,1269
TOSHIBA,Windows 10,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,NVIDIA GeForce 930M,2.2kg,670
LENOVO,Windows 10,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD +  1TB HDD,NVIDIA GeForce 940MX,2.3kg,526
HP,Windows 10,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,1.86kg,301
LENOVO,Windows 10,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,1.1kg,642
DELL,Windows 10,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,1TB SSD,Intel UHD Graphics 620,1.21kg,1606
MSI,Windows 10,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,NVIDIA GeForce GTX 1070,2.8kg,1349
ACER,Windows 10,15.6,Full HD 1920x1080,AMD A8-Series 7410 2.2GHz,8GB,256GB SSD,AMD Radeon R5,2.23kg,301
ASUS,Windows 10,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,2GB,32GB Flash Storage,Intel HD Graphics 500,1.1kg,177
DELL,Windows 10,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,2.33kg,542
HP,Windows 10,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,1TB SSD,Intel UHD Graphics 620,1.29kg,1574
LENOVO,Chrome OS,13.3,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4GB,16GB Flash Storage,Intel HD Graphics 510,1.45kg,296
HP,Windows 10,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,1.95kg,630
ACER,Windows 10,11.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,4GB,128GB Flash Storage,Intel HD Graphics 405,1.4kg,312
HP,Windows 10,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,1.48kg,830
LENOVO,Windows 10,17.3,1600x900,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,NVIDIA GeForce 920MX,2.79kg,378
ASUS,Windows 10,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,2kg,703
HP,Windows 10,15.6,IPS Panel Full HD 1366x768,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Intel UHD Graphics 620,2.1kg,580
ACER,Windows 10,15.6,1366x768,AMD A12-Series 9720P 2.7GHz,8GB,256GB SSD,AMD Radeon RX 540,2.2kg,423
LENOVO,Windows 10,14,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,1.44kg,188
ACER,Windows 10,15.6,1366x768,Intel Core i5 7200U 2.5GHz,6GB,1TB HDD,Intel HD Graphics 620,2.23kg,
ASUS,Windows 10,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,NVIDIA GeForce 940MX,1.7kg,675
HP,Windows 10,12.5,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,1.26kg,858
DELL,Windows 10,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,32GB,1TB SSD,NVIDIA GeForce GTX 1050,2.06kg,1696
MSI,Windows 10,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD +  1TB HDD,NVIDIA GeForce GTX 1050 Ti,2.7kg,770
TOSHIBA,Windows 10,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,2.0kg,606
ASUS,Windows 10,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD +  1TB HDD,Intel HD Graphics 620,2kg,857
LENOVO,Windows 10,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,1.85kg,289
ASUS,Windows 10,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,NVIDIA GeForce GTX 1050,2.5kg,642
HP,Windows 10,14,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 620,1.48kg,815
DELL,Windows 10,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,NVIDIA GeForce 940MX,1.9kg,674
HP,Windows 10,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,1.84kg,735
ASUS,Linux,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,Intel HD Graphics 500,2kg,177
DELL,Windows 10,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,NVIDIA GeForce 940MX,2kg,734
DELL,Linux,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,500GB HDD,Intel HD Graphics,2.2kg,177
LENOVO,Windows 10,15.6,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,12GB,2TB HDD,AMD Radeon 530,2.2kg,578
HP,Windows 10,15.6,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,NVIDIA GeForce 930MX ,2.1kg,460
LENOVO,Windows 10,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,1.4kg,1349
DELL,Windows 10,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,1.2kg,1015
LENOVO,Windows 10,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,NVIDIA GeForce GTX 1050 Ti,2.4kg,725
HP,Windows 10,14,1366x768,Intel Celeron Dual Core N3060 1.6GHz,2GB,32GB Flash Storage,Intel HD Graphics 400,1.44kg,179
DELL,Windows 10,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,16GB,512GB SSD +  256GB SSD,Intel UHD Graphics 620,1.88kg,1033
